Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Peach,Clayey,32.12,304.8,81.46,324.86,Corn
Bell Pepper,Sandy,25.64,209.2,63.42,622.89,Maize
Chilli,Loamy,22.42,302.77,103.11,679.81,Tomato
Peach,Sandy,23.1,253.57,76.37,591.22,Maize
Bell Pepper,Sandy,25.01,263.13,100.73,511.98,Soybean
Bell Pepper,Loamy,23.36,323.64,54.45,445.35,Tomato
Tomato,Saline,39.49,314.14,94.52,337.22,Rice
Peach,Loamy,33.17,200.0,64.72,613.69,Bell Pepper
Peach,Saline,23.59,150.32,77.66,596.45,Chilli
Soybean,Saline,28.48,363.73,86.77,370.91,Rice
Bell Pepper,Sandy,25.38,324.86,106.65,473.56,Soybean
Potato,Sandy,33.69,373.07,110.66,449.29,Soybean
Potato,Sandy,37.35,217.34,111.61,498.93,Soybean
Potato,Sandy,28.02,396.67,105.51,433.47,Soybean
Bell Pepper,Loamy,28.58,258.21,89.82,498.66,Peach
Bell Pepper,Clayey,27.97,379.09,66.17,314.9,Corn
Chilli,Loamy,28.98,310.6,51.09,498.27,Bell Pepper
Tomato,Clayey,20.72,219.0,88.02,522.62,Soybean
Peach,Loamy,31.85,233.62,112.49,302.61,Tomato
Soybean,Sandy,39.04,308.43,101.71,491.86,Soybean
Tomato,Clayey,35.71,319.89,118.76,515.63,Potato
Chilli,Loamy,37.23,287.66,74.47,608.86,Tomato
Bell Pepper,Loamy,24.58,387.0,79.24,679.39,Chilli
Maize,Saline,32.14,313.49,97.52,421.24,Rice
Peach,Loamy,37.86,191.28,106.74,585.54,Bell Pepper
Potato,Sandy,21.37,163.36,99.55,390.09,Soybean
Bell Pepper,Loamy,37.55,356.86,82.34,353.01,Tomato
Chilli,Loamy,21.29,223.0,87.79,492.77,Peach
Maize,Sandy,39.66,394.2,71.29,316.78,Maize
Rice,Clayey,21.68,333.27,94.59,693.59,Soybean
Potato,Clayey,27.36,223.63,62.68,580.15,Potato
Soybean,Sandy,21.09,387.92,108.65,393.34,Soybean
Bell Pepper,Clayey,21.14,165.13,100.02,568.26,Corn
Corn,Saline,37.33,275.03,91.87,423.87,Rice
Maize,Loamy,21.27,190.8,72.16,360.64,Rice
Maize,Loamy,35.85,381.01,62.57,686.06,Tomato
Peach,Clayey,38.14,158.17,60.06,555.83,Potato
Potato,Clayey,38.7,333.45,97.82,527.88,Potato
Bell Pepper,Clayey,37.28,365.58,93.7,550.9,Potato
Corn,Sandy,39.1,219.4,54.79,432.02,Maize
Potato,Saline,21.04,332.29,80.81,527.97,Rice
Chilli,Saline,39.93,171.85,72.38,620.08,Chilli
Corn,Clayey,20.41,189.86,68.54,685.56,Tomato
Tomato,Sandy,23.33,389.77,54.2,629.46,Maize
Tomato,Clayey,21.62,206.48,86.7,495.65,Rice
Maize,Sandy,34.88,222.89,116.59,461.71,Soybean
Chilli,Sandy,21.74,373.33,57.84,593.81,Maize
Tomato,Loamy,25.85,223.16,96.42,435.37,Peach
Maize,Clayey,32.76,279.04,107.76,385.22,Corn
Bell Pepper,Loamy,29.96,224.29,74.76,492.37,Peach
Maize,Loamy,22.72,328.5,117.61,616.25,Bell Pepper
Bell Pepper,Saline,30.43,392.9,60.63,371.06,Rice
Chilli,Sandy,26.81,179.03,69.39,491.02,Maize
Peach,Sandy,31.72,350.27,73.69,324.2,Maize
Potato,Sandy,30.77,292.67,75.09,678.1,Maize
Maize,Sandy,39.79,285.48,112.87,612.26,Soybean
Maize,Loamy,37.27,304.99,50.08,493.47,Tomato
Bell Pepper,Sandy,20.07,355.44,57.15,586.06,Maize
Tomato,Saline,23.52,326.99,69.51,315.58,Rice
Tomato,Saline,38.26,275.94,53.48,441.72,Rice
Maize,Loamy,30.79,157.24,91.83,305.93,Bell Pepper
Tomato,Loamy,35.19,250.45,53.95,420.96,Tomato
Tomato,Clayey,30.07,374.63,70.02,652.48,Potato
Maize,Clayey,35.72,294.33,96.66,500.01,Potato
Rice,Sandy,22.66,245.65,80.91,464.62,Soybean
Rice,Loamy,34.76,166.64,67.49,357.12,Bell Pepper
Chilli,Loamy,37.39,392.06,107.29,510.52,Tomato
Soybean,Saline,25.31,207.8,69.19,566.58,Chilli
Potato,Saline,27.37,316.38,64.64,644.97,Rice
Soybean,Saline,31.81,298.27,99.38,418.71,Rice
Tomato,Loamy,37.36,191.59,107.61,458.29,Bell Pepper
Corn,Clayey,38.16,202.4,67.16,541.94,Potato
Tomato,Loamy,30.69,385.05,60.61,602.47,Tomato
Maize,Loamy,33.16,399.12,88.0,674.36,Tomato
Maize,Loamy,37.46,241.72,78.85,675.92,Tomato
Potato,Clayey,24.63,275.08,112.37,414.14,Chilli
Peach,Saline,36.5,279.89,70.46,430.15,Rice
Peach,Sandy,25.24,181.55,99.35,682.43,Soybean
Peach,Sandy,31.62,393.43,117.3,458.02,Soybean
Chilli,Sandy,38.69,226.42,89.98,490.64,Soybean
Tomato,Clayey,30.23,259.74,66.12,323.78,Corn
Maize,Clayey,21.87,370.35,84.47,579.07,Rice
Corn,Sandy,37.92,325.66,105.99,630.15,Soybean
Corn,Sandy,31.7,223.97,94.97,696.13,Soybean
Corn,Clayey,21.42,165.89,88.2,608.44,Maize
Peach,Sandy,20.21,183.84,50.97,317.64,Maize
Potato,Loamy,25.23,247.67,99.83,596.4,Chilli
Peach,Saline,22.41,260.94,107.59,314.06,Rice
Maize,Clayey,32.57,270.06,64.06,571.34,Potato
Tomato,Saline,31.93,166.48,93.0,429.64,Chilli
Tomato,Sandy,36.82,159.91,68.41,369.13,Maize
Potato,Sandy,30.27,305.86,52.78,431.25,Maize
Chilli,Clayey,25.06,190.51,101.57,521.92,Potato
Corn,Clayey,21.01,313.95,93.81,525.26,Chilli
Tomato,Loamy,20.21,187.56,103.26,660.44,Tomato
Potato,Clayey,38.52,287.27,65.2,428.32,Potato
Corn,Saline,22.89,218.53,117.19,425.34,Chilli
Peach,Clayey,29.98,200.36,105.71,514.5,Potato
Bell Pepper,Loamy,35.9,205.22,76.6,698.16,Tomato
Soybean,Saline,38.57,256.92,94.78,369.21,Rice
Tomato,Sandy,24.03,285.1,102.41,650.73,Soybean
Chilli,Clayey,24.64,356.21,67.82,499.74,Rice
Potato,Sandy,23.59,331.79,61.25,640.91,Maize
Chilli,Loamy,23.18,202.97,101.21,619.68,Chilli
Peach,Clayey,29.1,258.68,86.76,578.03,Potato
Tomato,Loamy,32.72,157.94,112.21,303.9,Bell Pepper
Maize,Sandy,34.13,292.52,54.79,503.96,Maize
Peach,Saline,26.54,325.98,116.96,508.07,Rice
Peach,Loamy,32.48,335.61,71.22,519.22,Tomato
Potato,Clayey,20.05,181.05,98.65,627.64,Rice
Chilli,Clayey,37.77,275.0,52.15,369.36,Corn
Potato,Sandy,37.4,370.69,50.56,686.96,Maize
Corn,Sandy,30.88,196.33,113.58,522.6,Soybean
Bell Pepper,Sandy,24.87,168.08,78.51,448.78,Maize
Chilli,Sandy,39.44,214.92,58.04,508.66,Maize
Bell Pepper,Clayey,36.21,176.03,102.18,679.37,Potato
Potato,Clayey,20.34,164.72,67.92,367.16,Maize
Maize,Clayey,29.39,206.17,117.58,511.89,Potato
Tomato,Loamy,22.04,241.95,80.29,394.77,Chilli
Peach,Saline,22.64,335.92,52.96,373.43,Rice
Peach,Saline,20.03,168.49,78.7,620.0,Chilli
Bell Pepper,Saline,33.75,393.59,85.19,370.87,Rice
Chilli,Loamy,25.05,152.96,84.13,672.88,Rice
Tomato,Sandy,26.1,351.66,113.42,399.94,Soybean
Soybean,Sandy,20.94,151.27,112.12,439.9,Soybean
Bell Pepper,Sandy,20.16,212.95,107.8,514.51,Soybean
Chilli,Clayey,35.85,383.22,56.26,447.79,Potato
Chilli,Loamy,33.23,258.49,115.78,321.24,Tomato
Rice,Saline,27.65,235.32,69.49,678.83,Chilli
Peach,Sandy,21.4,314.22,53.44,682.33,Maize
Tomato,Saline,35.52,341.81,119.81,479.79,Rice
Corn,Sandy,38.53,379.6,54.4,457.59,Maize
Bell Pepper,Saline,30.55,377.97,54.25,574.68,Rice
Tomato,Clayey,22.78,324.61,106.21,338.47,Maize
Rice,Loamy,33.05,161.31,54.92,649.0,Bell Pepper
Rice,Sandy,21.43,227.44,82.07,342.86,Soybean
Tomato,Sandy,23.31,225.48,99.35,454.51,Soybean
Chilli,Sandy,29.41,230.33,73.26,484.62,Maize
Soybean,Sandy,24.98,176.59,96.56,405.45,Soybean
Tomato,Loamy,38.6,160.26,116.91,427.78,Bell Pepper
Bell Pepper,Loamy,36.18,207.99,119.61,579.41,Tomato
Corn,Sandy,25.54,295.9,84.96,360.4,Soybean
Peach,Saline,39.28,150.76,103.24,336.73,Chilli
Rice,Clayey,27.57,371.9,95.96,328.77,Corn
Maize,Sandy,31.37,380.32,114.23,637.3,Soybean
Maize,Clayey,31.28,303.47,115.21,366.99,Corn
Chilli,Saline,32.99,162.84,90.37,525.88,Chilli
Peach,Sandy,24.87,394.92,71.24,558.87,Maize
Rice,Sandy,38.44,304.73,58.62,340.55,Maize
Maize,Clayey,25.31,282.64,75.01,536.46,Potato
Maize,Sandy,33.3,269.25,98.76,547.84,Soybean
Soybean,Saline,35.32,182.8,77.93,399.27,Chilli
Tomato,Loamy,37.63,349.4,51.44,698.99,Tomato
Potato,Clayey,29.14,273.9,91.77,686.21,Potato
Peach,Loamy,34.23,154.98,78.83,659.1,Bell Pepper
Potato,Clayey,21.71,188.15,67.7,332.71,Potato
Corn,Loamy,35.56,221.57,74.02,494.89,Tomato
Tomato,Saline,35.11,378.62,98.55,395.83,Rice
Corn,Saline,28.21,264.89,52.53,505.9,Rice
Bell Pepper,Sandy,26.27,385.17,77.45,435.78,Maize
Rice,Saline,27.6,218.71,55.37,666.22,Chilli
Potato,Saline,21.81,396.04,99.99,538.97,Rice
Chilli,Sandy,32.76,388.8,119.56,600.51,Soybean
Bell Pepper,Clayey,38.26,327.95,76.27,661.91,Potato
Peach,Saline,33.31,339.17,110.06,490.51,Rice
Rice,Saline,31.61,156.07,110.92,455.56,Chilli
Maize,Loamy,39.81,207.49,99.87,463.38,Tomato
Potato,Saline,30.84,198.73,58.33,450.18,Chilli
Tomato,Sandy,26.92,389.85,102.73,645.83,Soybean
Tomato,Saline,34.09,252.19,79.68,607.46,Rice
Bell Pepper,Loamy,30.43,300.42,102.35,410.21,Tomato
Bell Pepper,Saline,39.44,217.43,71.37,357.48,Chilli
Maize,Loamy,37.96,213.65,115.56,314.51,Tomato
Soybean,Saline,38.94,254.74,54.06,451.95,Rice
Potato,Clayey,20.02,229.42,117.59,584.36,Peach
Corn,Sandy,26.68,337.87,73.72,651.45,Maize
Peach,Saline,32.54,305.55,63.8,457.98,Rice
Potato,Clayey,26.17,323.45,91.78,356.03,Corn
Potato,Clayey,33.13,284.96,86.75,415.77,Potato
Maize,Sandy,34.3,375.7,110.34,465.26,Soybean
Potato,Loamy,32.47,166.14,106.15,400.8,Bell Pepper
Potato,Clayey,29.17,337.45,90.63,376.51,Corn
Chilli,Sandy,33.94,210.01,82.5,311.46,Soybean
Chilli,Saline,35.61,305.78,119.88,414.81,Rice
Rice,Loamy,33.92,381.43,65.4,505.26,Tomato
Peach,Loamy,36.24,227.7,106.91,597.0,Tomato
Chilli,Loamy,38.95,390.99,73.17,391.04,Tomato
Peach,Clayey,22.05,194.06,84.96,616.12,Bell Pepper
Tomato,Clayey,38.13,388.81,53.52,449.15,Potato
Maize,Sandy,25.47,160.39,63.16,594.78,Maize
Maize,Loamy,31.28,232.12,69.62,685.39,Tomato
Chilli,Loamy,38.85,324.62,62.12,542.46,Tomato
Tomato,Sandy,32.4,361.09,57.49,500.6,Maize
Corn,Saline,21.68,191.78,101.15,584.24,Chilli
Rice,Loamy,29.98,383.58,95.43,463.59,Soybean
Maize,Loamy,37.89,189.15,90.98,638.27,Bell Pepper
Rice,Sandy,28.24,367.1,76.38,300.79,Maize
Maize,Sandy,36.96,371.19,51.88,412.54,Maize
Tomato,Clayey,35.88,334.45,67.88,695.99,Potato
Potato,Saline,38.13,372.73,79.71,318.93,Rice
Soybean,Clayey,25.26,170.79,90.41,567.41,Potato
Potato,Clayey,29.93,381.39,85.94,695.05,Potato
Corn,Sandy,26.7,265.93,74.1,699.97,Maize
Maize,Clayey,30.69,223.86,58.09,357.08,Corn
Corn,Saline,20.38,151.53,59.88,578.18,Chilli
Chilli,Loamy,24.83,292.61,101.92,645.26,Maize
Chilli,Clayey,39.48,165.6,70.96,619.59,Potato
Bell Pepper,Clayey,32.06,153.07,106.01,556.19,Potato
Peach,Clayey,23.47,254.38,100.06,568.18,Bell Pepper
Chilli,Saline,30.17,165.2,64.03,487.34,Chilli
Chilli,Saline,33.96,361.63,111.43,601.92,Rice
Maize,Saline,32.07,161.46,57.47,407.86,Chilli
Bell Pepper,Sandy,30.04,290.56,83.99,609.83,Soybean
Maize,Loamy,33.48,282.07,94.56,645.03,Tomato
Rice,Sandy,23.34,290.41,105.33,504.35,Soybean
Corn,Loamy,28.76,183.04,55.63,647.0,Peach
Rice,Clayey,35.01,370.53,96.13,442.07,Potato
Tomato,Saline,31.59,313.09,102.7,320.07,Rice
Tomato,Saline,38.13,345.63,108.14,622.02,Rice
Maize,Saline,28.88,361.91,57.79,301.59,Rice
Soybean,Clayey,22.64,373.66,94.08,554.03,Chilli
Soybean,Loamy,20.98,330.66,70.72,305.48,Corn
Rice,Sandy,29.55,331.61,103.81,456.18,Soybean
Chilli,Sandy,28.75,187.33,52.11,315.9,Maize
Maize,Clayey,25.13,192.35,113.61,550.02,Potato
Rice,Loamy,31.81,338.37,64.16,367.85,Tomato
Maize,Saline,25.0,204.96,86.23,485.16,Chilli
Rice,Loamy,24.33,288.22,94.55,629.22,Tomato
Tomato,Loamy,32.44,217.88,104.46,548.71,Tomato
Bell Pepper,Saline,38.9,213.86,79.34,692.3,Chilli
Maize,Loamy,24.06,262.71,77.99,601.97,Potato
Bell Pepper,Clayey,23.66,191.3,111.28,542.37,Potato
Tomato,Sandy,30.39,361.5,119.94,460.18,Soybean
Soybean,Clayey,22.39,187.0,112.26,413.33,Peach
Potato,Loamy,25.88,344.63,65.94,650.09,Chilli
Corn,Saline,39.82,267.25,84.31,597.7,Rice
Corn,Sandy,36.82,201.65,60.1,445.45,Maize
Corn,Clayey,34.12,235.62,102.54,585.53,Potato
Tomato,Loamy,20.52,256.63,93.63,472.56,Soybean
Tomato,Saline,25.3,219.67,75.12,628.4,Chilli
Soybean,Clayey,31.39,352.44,109.57,330.77,Corn
Potato,Loamy,34.21,238.33,63.4,574.92,Tomato
Peach,Saline,33.37,272.67,78.61,670.86,Rice
Corn,Clayey,23.71,157.18,65.2,331.72,Potato
Chilli,Saline,29.33,206.3,108.84,546.16,Chilli
Corn,Clayey,23.97,170.39,107.6,621.68,Rice
Peach,Clayey,38.47,377.15,77.54,503.66,Potato
Maize,Loamy,31.15,365.33,56.57,573.94,Tomato
Soybean,Sandy,27.81,220.2,99.41,418.92,Soybean
Bell Pepper,Sandy,38.36,271.96,103.91,373.41,Soybean
Bell Pepper,Saline,38.08,231.18,119.44,595.52,Chilli
Peach,Saline,30.08,344.18,61.59,341.63,Rice
Corn,Saline,33.74,208.04,58.11,347.48,Chilli
Bell Pepper,Saline,26.38,353.03,87.56,574.45,Rice
Peach,Saline,26.15,194.97,66.28,665.21,Chilli
Tomato,Loamy,30.99,222.89,56.22,597.26,Tomato
Rice,Saline,36.93,372.15,63.42,500.29,Rice
Tomato,Sandy,31.94,221.48,74.64,633.05,Maize
Corn,Sandy,29.18,377.71,73.77,647.42,Maize
Peach,Clayey,33.28,183.85,117.66,577.13,Potato
Maize,Clayey,36.25,307.94,80.97,527.73,Potato
Bell Pepper,Loamy,35.75,219.66,105.12,336.42,Tomato
Bell Pepper,Loamy,27.41,230.2,57.28,569.98,Rice
Bell Pepper,Saline,38.71,358.39,50.05,576.1,Rice
Peach,Clayey,20.32,293.2,55.54,382.36,Maize
Tomato,Loamy,29.02,204.65,107.76,344.34,Corn
Maize,Loamy,38.15,386.36,53.38,491.36,Tomato
Peach,Sandy,33.92,251.23,119.48,527.95,Soybean
Corn,Loamy,34.08,369.86,75.31,392.26,Tomato
Soybean,Loamy,23.13,377.97,83.21,300.0,Bell Pepper
Corn,Clayey,31.64,254.59,106.89,445.71,Potato
Rice,Saline,39.34,253.4,117.85,575.8,Rice
Soybean,Saline,24.23,288.2,77.06,435.65,Rice
Corn,Loamy,26.54,309.23,91.58,354.19,Tomato
Maize,Clayey,27.77,163.63,94.63,483.4,Potato
Potato,Saline,27.2,166.92,67.22,574.72,Chilli
Potato,Saline,32.54,212.63,96.64,467.53,Chilli
Potato,Loamy,24.69,257.98,117.49,383.91,Maize
Rice,Saline,30.11,313.71,67.84,484.34,Rice
Rice,Saline,28.0,199.06,80.39,480.63,Chilli
Potato,Sandy,32.89,226.31,111.64,636.19,Soybean
Bell Pepper,Clayey,24.84,251.91,100.23,339.14,Potato
Soybean,Loamy,31.06,219.87,90.39,602.36,Tomato
Soybean,Loamy,34.81,246.32,60.07,690.3,Tomato
Bell Pepper,Sandy,33.86,181.9,107.84,363.63,Soybean
Tomato,Loamy,36.69,153.8,116.36,381.03,Bell Pepper
Potato,Sandy,39.12,199.29,75.51,456.63,Maize
Bell Pepper,Clayey,37.08,218.12,91.67,673.05,Potato
Peach,Saline,38.76,347.46,59.63,464.81,Rice
Soybean,Saline,20.35,337.91,113.17,391.57,Rice
Peach,Clayey,32.58,331.58,56.93,695.95,Potato
Bell Pepper,Loamy,25.35,390.1,78.66,417.5,Bell Pepper
Bell Pepper,Clayey,36.18,252.35,87.62,424.09,Potato
Corn,Saline,36.38,176.11,58.46,662.02,Chilli
Corn,Sandy,20.96,354.63,110.31,393.85,Soybean
Maize,Sandy,31.91,295.81,107.95,592.39,Soybean
Maize,Loamy,37.02,399.94,62.08,686.28,Tomato
Rice,Saline,31.75,234.86,53.74,364.7,Chilli
Rice,Sandy,28.51,368.53,91.97,507.52,Soybean
Potato,Sandy,21.54,365.02,116.28,339.94,Soybean
Corn,Sandy,34.61,395.84,72.58,446.5,Maize
Potato,Loamy,21.49,396.05,109.91,456.71,Peach
Bell Pepper,Saline,31.96,397.96,71.91,561.28,Rice
Potato,Clayey,38.35,378.51,103.51,402.79,Potato
Bell Pepper,Sandy,28.38,215.23,91.5,679.58,Soybean
Soybean,Clayey,35.4,260.36,69.41,504.93,Potato
Corn,Clayey,36.0,392.62,118.85,329.08,Corn
Maize,Loamy,20.21,249.69,110.47,393.75,Tomato
Potato,Loamy,38.3,379.57,61.97,535.95,Tomato
Corn,Clayey,23.78,339.13,86.37,444.68,Corn
Soybean,Loamy,25.65,366.53,113.58,383.82,Tomato
Peach,Clayey,37.42,339.34,114.5,697.98,Potato
Maize,Sandy,33.73,245.43,79.15,400.71,Maize
Chilli,Saline,27.44,218.19,90.9,531.51,Chilli
Corn,Clayey,21.76,325.82,93.79,318.73,Bell Pepper
Tomato,Saline,27.72,171.88,90.1,405.56,Chilli
Corn,Clayey,39.33,196.17,98.29,599.36,Potato
Bell Pepper,Sandy,22.09,157.47,51.07,558.62,Maize
Tomato,Loamy,36.92,220.92,87.16,689.04,Tomato
Potato,Clayey,26.51,228.08,91.05,596.02,Potato
Soybean,Loamy,33.09,373.35,99.34,557.24,Tomato
Tomato,Sandy,32.63,340.37,94.16,389.56,Soybean
Potato,Saline,26.51,321.49,62.69,509.24,Rice
Potato,Clayey,21.09,349.24,75.91,419.48,Maize
Potato,Clayey,22.98,309.5,79.33,310.33,Maize
Bell Pepper,Saline,31.32,215.53,97.01,305.41,Chilli
Tomato,Clayey,38.98,389.3,96.5,392.25,Corn
Rice,Clayey,38.52,184.01,100.39,406.42,Potato
Soybean,Saline,22.27,176.71,92.97,506.39,Chilli
Peach,Loamy,37.5,209.78,77.67,602.07,Tomato
Corn,Loamy,24.68,364.09,68.11,416.62,Rice
Bell Pepper,Saline,38.2,260.74,62.33,372.14,Rice
Maize,Sandy,35.17,249.06,74.66,436.32,Maize
Peach,Saline,39.23,220.88,75.15,685.37,Chilli
Soybean,Saline,28.83,389.94,96.31,424.65,Rice
Bell Pepper,Loamy,34.63,342.8,69.62,318.08,Tomato
Peach,Clayey,34.71,191.37,61.02,569.95,Potato
Corn,Sandy,29.92,237.1,118.23,593.38,Soybean
Potato,Clayey,39.49,240.17,52.62,681.8,Potato
Potato,Clayey,24.87,206.02,115.75,429.56,Potato
Soybean,Sandy,39.72,181.94,79.54,357.05,Maize
Corn,Saline,36.24,359.49,89.15,412.71,Rice
Peach,Saline,32.32,280.13,105.81,387.15,Rice
Chilli,Clayey,21.51,238.77,112.94,340.94,Tomato
Potato,Clayey,25.19,165.21,119.99,407.96,Potato
Rice,Sandy,36.83,213.08,94.75,337.08,Soybean
Peach,Loamy,34.56,331.19,94.43,633.28,Tomato
Potato,Sandy,39.25,373.67,62.26,399.53,Maize
Peach,Sandy,27.94,372.94,85.15,307.02,Soybean
Soybean,Sandy,37.89,228.18,101.43,308.31,Soybean
Maize,Loamy,37.24,327.17,117.48,571.45,Tomato
Potato,Saline,39.32,186.82,52.65,542.91,Chilli
Peach,Sandy,25.45,221.1,107.23,514.8,Soybean
Maize,Loamy,29.89,278.99,107.1,391.6,Rice
Maize,Clayey,21.62,343.95,80.16,628.23,Tomato
Rice,Sandy,31.82,377.66,77.99,619.19,Maize
Maize,Clayey,34.65,385.56,116.56,565.59,Potato
Corn,Clayey,24.76,190.63,76.31,429.64,Rice
Maize,Loamy,23.39,260.47,53.78,596.91,Potato
Chilli,Clayey,32.79,318.94,110.69,352.61,Corn
Peach,Clayey,27.86,338.16,112.52,383.89,Corn
Maize,Sandy,28.53,276.2,87.9,352.93,Soybean
Tomato,Clayey,29.42,164.25,113.39,321.49,Corn
Corn,Sandy,30.23,350.34,95.13,696.12,Soybean
Bell Pepper,Clayey,23.91,365.48,59.58,630.91,Corn
Corn,Saline,31.55,372.75,61.8,449.85,Rice
Soybean,Saline,21.38,368.88,82.28,581.44,Rice
Bell Pepper,Loamy,22.27,338.46,84.58,516.12,Maize
Rice,Clayey,34.23,253.91,84.72,387.86,Corn
Corn,Loamy,34.63,194.95,116.53,535.81,Bell Pepper
Soybean,Sandy,25.33,182.91,84.93,552.72,Soybean
Corn,Sandy,23.69,327.11,96.7,482.35,Soybean
Maize,Clayey,21.08,344.62,109.24,610.01,Rice
Potato,Clayey,28.38,313.02,107.64,366.8,Corn
Potato,Saline,30.18,293.19,98.19,600.8,Rice
Soybean,Sandy,37.99,297.41,116.91,304.41,Soybean
Corn,Sandy,20.05,166.37,72.09,508.6,Maize
Soybean,Sandy,28.12,220.59,112.18,579.56,Soybean
Rice,Loamy,28.39,192.61,71.78,601.23,Bell Pepper
Potato,Clayey,37.73,263.62,88.81,308.79,Corn
Tomato,Sandy,23.92,169.36,61.52,663.84,Maize
Bell Pepper,Sandy,21.32,232.7,102.08,427.74,Soybean
Maize,Clayey,27.63,368.9,93.89,345.91,Corn
Tomato,Clayey,32.25,174.53,115.15,676.31,Potato
Tomato,Loamy,37.16,291.34,79.22,308.34,Tomato
Peach,Saline,25.38,215.54,83.05,535.52,Chilli
Tomato,Sandy,25.03,242.73,55.18,444.75,Maize
Bell Pepper,Saline,26.52,224.92,101.39,510.47,Chilli
Bell Pepper,Clayey,22.36,165.57,117.85,672.91,Tomato
Maize,Saline,39.54,167.28,109.12,391.88,Chilli
Soybean,Loamy,30.81,267.44,98.61,567.99,Tomato
Chilli,Saline,25.44,361.72,110.43,404.85,Rice
Chilli,Sandy,27.23,383.1,73.37,313.18,Maize
Corn,Loamy,37.32,206.59,88.13,528.41,Tomato
Corn,Clayey,33.47,374.37,57.79,397.66,Corn
Bell Pepper,Loamy,31.06,162.01,76.66,399.61,Bell Pepper
Corn,Sandy,34.5,359.99,67.0,562.71,Maize
Peach,Clayey,35.12,287.43,53.17,409.97,Potato
Corn,Saline,23.88,171.58,56.57,345.1,Chilli
Rice,Sandy,23.17,169.24,119.79,304.68,Soybean
Rice,Loamy,39.33,185.55,115.34,542.12,Bell Pepper
Peach,Loamy,23.71,162.04,100.49,510.09,Tomato
Tomato,Loamy,29.3,326.7,82.0,378.43,Rice
Rice,Clayey,39.66,304.11,77.74,619.1,Potato
Chilli,Loamy,28.34,359.68,97.34,438.61,Chilli
Chilli,Clayey,30.3,271.49,66.94,373.16,Corn
Rice,Loamy,35.97,295.8,68.91,689.37,Tomato
Corn,Loamy,26.81,185.93,113.11,433.09,Peach
Chilli,Clayey,28.62,280.26,56.68,552.27,Potato
Rice,Clayey,26.64,228.78,55.31,542.15,Potato
Tomato,Clayey,25.75,262.84,80.94,607.71,Potato
Maize,Sandy,29.44,359.18,79.11,565.17,Maize
Corn,Saline,34.92,317.94,78.88,301.53,Rice
Corn,Loamy,37.35,165.22,82.34,446.96,Bell Pepper
Rice,Sandy,29.4,389.71,72.48,548.61,Maize
Soybean,Saline,26.42,214.36,64.78,669.04,Chilli
Potato,Loamy,38.23,264.81,55.22,462.68,Tomato
Rice,Loamy,26.72,267.37,60.94,480.0,Tomato
Peach,Loamy,35.5,312.07,52.34,687.02,Tomato
Rice,Saline,34.97,361.2,74.68,632.4,Rice
Corn,Loamy,21.0,220.58,51.56,590.95,Peach
Maize,Sandy,23.55,223.73,71.58,671.22,Maize
Peach,Loamy,31.46,205.67,64.92,544.37,Tomato
Bell Pepper,Sandy,37.35,339.98,96.95,634.22,Soybean
Bell Pepper,Clayey,31.88,309.06,95.42,442.19,Potato
Soybean,Saline,34.85,202.45,80.61,354.57,Chilli
Tomato,Sandy,34.69,261.72,100.49,563.78,Soybean
Chilli,Loamy,29.89,251.5,74.83,491.59,Peach
Soybean,Sandy,31.22,284.34,60.61,616.2,Maize
Bell Pepper,Sandy,21.43,355.29,52.9,589.63,Maize
Chilli,Clayey,38.55,373.14,53.2,642.49,Potato
Tomato,Saline,33.49,204.36,87.76,693.09,Chilli
Chilli,Clayey,23.09,300.76,107.44,544.1,Tomato
Tomato,Saline,24.88,350.61,92.27,665.02,Rice
Potato,Clayey,20.09,184.31,73.75,471.06,Tomato
Peach,Saline,25.28,235.34,87.33,515.23,Chilli
Chilli,Loamy,26.33,190.33,110.43,480.28,Bell Pepper
Chilli,Sandy,33.66,244.23,108.26,383.57,Soybean
Chilli,Sandy,29.53,160.45,94.12,651.79,Soybean
Maize,Clayey,36.86,273.51,94.54,628.78,Potato
Maize,Loamy,21.74,399.13,82.75,387.34,Maize
Potato,Loamy,34.14,368.76,119.6,694.64,Tomato
Potato,Loamy,37.5,277.2,99.77,602.97,Tomato
Potato,Clayey,28.43,296.76,87.38,300.42,Corn
Bell Pepper,Saline,25.77,342.02,113.12,329.05,Rice
Bell Pepper,Loamy,28.91,208.0,63.48,545.44,Chilli
Rice,Loamy,35.78,287.41,55.36,535.73,Tomato
Soybean,Saline,38.38,270.8,57.86,540.0,Rice
Peach,Saline,21.31,246.12,116.02,476.21,Chilli
Maize,Loamy,30.57,263.94,52.74,404.25,Tomato
Tomato,Clayey,32.79,342.38,93.24,581.72,Potato
Peach,Clayey,20.35,245.1,110.68,632.73,Chilli
Peach,Sandy,23.62,379.82,85.16,387.69,Soybean
Tomato,Sandy,21.25,374.49,68.04,393.21,Maize
Corn,Sandy,25.81,393.43,104.04,586.9,Soybean
Chilli,Clayey,24.11,166.09,116.62,524.9,Chilli
Soybean,Sandy,29.74,301.8,59.89,509.7,Maize
Rice,Loamy,33.11,201.62,101.22,354.01,Tomato
Potato,Clayey,36.84,170.04,102.43,546.08,Potato
Tomato,Clayey,26.09,278.48,93.82,358.24,Corn
Bell Pepper,Sandy,21.01,383.32,71.33,631.15,Maize
